study_type,sample_size,technology,disease_focus,key_finding,clinical_relevance,pmid,title,year
basic_research,,,none,"Tissue-restricted secondary TCR engagement drives the transition from stem-like to CD200-expressing T helper cells, with implications for interleukin-17 production regulation.",medium,41872507,Tissue-restricted secondary TCR engagement drives the transition from stem-like to CD200,2026
basic_research,,,none,"The study investigates how T-cell receptor repertoire in wild mice varies across different ages, sexes, and geographic locations in response to natural pathogen exposure.",medium,41853740,The T-cell receptor repertoire of wild mice.,2026
clinical,,"['scRNA-seq', 'scTCR-seq']",sepsis and urosepsis,"Septic patients exhibit T cell exhaustion across multiple subsets, while high-risk urosepsis individuals show enhanced T cell-mediated adaptive immunity with distinct TCR repertoire profiles.",high,41853277,Distinct landscapes of T-cell immunity and TCR repertoire between sepsis and pre-septic high-risk states.,2026
clinical,,TCR repertoire sequencing,acute graft-versus-host disease (aGVHD),T cell receptor repertoire characterization in aGVHD patients may provide mechanistic insights and identify predictive biomarkers for this major post-transplantation complication.,high,41853256,Quantitative evaluation of T-cell repertoire restoration following hematopoietic stem cell transplantation in patients with and without graft versus host disease.,2026
basic_research,,bioinformatic analysis,none,"Strain-level antigen variations in Bacteroides thetaiotaomicron, including premature stop codons and epitope substitutions, enable immune evasion from CD4+ T cells and facilitate strain-level discrimination by the host immune system.",medium,41847847,Strain-level antigen variation facilitates immune evasion in Bacteroides thetaiotaomicron.,2026
basic_research,,,none,Shared T cell receptor α chains between individuals that recognize conserved viral peptides may differ in the number of non-germline nucleotide additions based on antigen specificity.,medium,41834523,Differences in Shared T Cell receptor α Repertoire Associated with Recognition of Viral Antigens.,2026
basic_research,,"single-cell RNA/TCR sequencing, flow cytometry, multiplex immunohistochemistry",liver transplantation rejection,"MR1-mediated MAIT cells play a critical role in promoting liver transplant rejection through TCR repertoire remodeling, and MR1 knockout alleviates rejection responses.",high,41804231,Single Cell Multi-Omics Revealing the Important Role of MR1 Mediated MAIT Cells in Maintaining Rejection for Liver Transplantation.,2026
clinical,,single-cell analysis,systemic lupus erythematosus,Characterization of B cell depletion and repopulation dynamics at the single-cell level following rituximab treatment in systemic lupus erythematosus patients.,high,41787696,Single-cell level characterization of B cell depletion and repopulation following rituximab in systemic lupus erythematosus.,2026
clinical,,TCR-seq,head and neck squamous cell carcinoma (HNSCC),Pre-existing TCR clones are drivers of major pathological responses in HNSCC patients treated with dual immune checkpoint inhibitors.,high,41785014,Pre-existing TCR clones drive major pathological responses in HNSCC patients treated with dual immune checkpoint inhibitors.,2026
review,,"TCR-seq (DNA-based, RNA-based, short-read, long-read, bulk, single-cell approaches); spatial TCR-seq; machine learning algorithms; motif-based clustering",cancer immunology and immunotherapy,"TCR-seq enables comprehensive characterization of adaptive immune repertoires and tracking of T-cell clones across temporal and spatial dimensions, providing insights into tumor-specific immune responses and treatment efficacy, though antigen specificity prediction methods require further refinement.",high,41775434,"TCR sequencing in cancer immunology and immunotherapy: what, when, where, why, and how.",2026
basic_research,,scRNA-seq,Sézary syndrome and cutaneous T-cell lymphomas,Single-cell RNA sequencing enables dissection of malignant heterogeneity and immune dysregulation in leukaemic cutaneous T-cell lymphomas.,high,41773808,Mapping malignant T-cell states and immune circuits in Sézary syndrome by single-cell analysis.,2026
clinical,,high-throughput BCR/TCR sequencing,Kawasaki disease,"KD patients exhibit oligoclonal B-cell and T-cell receptor expansion with reduced diversity consistent with antigen-driven selection, whereas the CAWS mouse model shows polyclonal activation, revealing a critical divergence between human disease and current animal models.",high,41764728,Comprehensive immune repertoire profiling reveals distinct characteristics in Kawasaki disease and a mouse model.,2026
basic_research,,"single-cell RNA sequencing, single-cell TCR sequencing",triple-negative breast cancer,"Serum-free culture conditions support robust Vγ9Vδ2 γδ T cell expansion with higher purity, activated phenotype, and comparable or enhanced cytotoxicity compared to serum-containing conditions, offering improved consistency for adoptive cell therapy.",high,41743736,Human serum influences functional plasticity and transcriptomic landscape of γδ T cells ,2026
clinical,,TCR β CDR3 repertoire profiling,pediatric myocarditis,TCR β CDR3 repertoire analysis in pediatric myocarditis reveals clonal expansion and disease-associated public clonotypes that provide insights into disease-associated adaptive immune responses.,high,41716402,TCR β CDR3 repertoire remodeling in pediatric myocarditis reveals clonal expansion and disease-associated public clonotypes.,2026
basic_research,,"TCR screening, functional assay, antigen-presenting cell labeling","viral infections (COVID-19, influenza, herpesviruses)","A functional screening workflow successfully identified the antigen specificities of public TCRs circulating in up to 14% of individuals, revealing shared immune memories against immunodominant viral epitopes including cross-reactive coronavirus-specific and conserved influenza-specific TCRs.",high,41686909,De novo identification of the specificities of recurrently identified human T cell receptors.,2026
computational,2250.0,"TCRβ chain sequencing, deep learning",Type 1 diabetes,"HLA risk alleles correlate with restricted TCR repertoires in T1D patients, and deep learning identified T1D-associated TCR motifs that are enriched in pancreatic lymph nodes of affected individuals.",high,41686902,Identification of a type 1 diabetes-associated T cell receptor repertoire signature from the human peripheral blood.,2026
computational,,AIRR-seq,COVID-19,"AIRR-seq can detect imprints of past and ongoing SARS-CoV-2 infections through T cell receptor biomarkers, enabling monitoring of infectious disease spread based on population immunity signatures.",high,41680899,Inference of SARS-CoV-2 exposure biomarkers using large-scale T-cell repertoire profiling.,2026
computational,,TCR sequencing,non-small cell lung cancer (NSCLC),A multi-branch ensemble learning framework enables non-invasive detection of non-small cell lung cancer through analysis of T-cell receptor sequencing from peripheral blood.,high,41673808,A multi-branch ensemble learning framework for detection of non-small cell lung cancer via T-cell receptor sequencing.,2026
basic_research,,,gastric cancer,Genetically engineered ErbB2 overexpression in organoid-derived tumors enhances sensitivity to checkpoint inhibition in a syngeneic gastric cancer model.,medium,41672595,Genetically engineered ErbB2 overexpression sensitizes organoid-derived tumors to checkpoint inhibition in a syngeneic model of gastric cancer.,2026
clinical,,TCR repertoire profiling,Immunoglobulin A nephropathy (IgAN),T-cell receptor repertoire analysis was performed in tonsillar tissue of IgAN patients to investigate the role of T cells in the pathogenesis of this chronic glomerulonephritis.,high,41665944,Shared T-Cell Receptor Repertoire in the Tonsils of Patients with Immunoglobulin A Nephropathy.,2026
computational,3.0,bulk TCR sequencing,pancreatic cancer,TCRcloud is an open-access visualization platform that enables analysis of TCR and BCR diversity changes during immune checkpoint inhibitor treatment and other cellular immune responses.,high,41652507,TCRcloud: a global visualization tool for T-cell and B-cell receptor transcripts.,2026
basic_research,,,pancreatic ductal adenocarcinoma (PDAC),Cytokine mRNA-based therapy restores dendritic cell and T cell populations to effectively eliminate aggressive pancreatic cancer in preclinical mouse models.,high,41638924,Cytokine mRNA-based therapy alleviates dendritic cell and T cell paucity to eliminate aggressive pancreatic cancer in preclinical mouse models.,2026
clinical,,TCR sequencing,glioma,The study examines whether herpesvirus-specific T-cell receptor sequences in patient blood associate with glioma grade and survival outcomes.,high,41624423,T-cell receptor sequencing for detection of Epstein-Barr and cytomegalovirus-specific immune responses in glioma patients: An exploratory study.,2025
clinical,,multi-omics,thymoma-associated myasthenia gravis,Multi-omics profiling identifies intrathymic triggers and novel biomarkers that explain how thymoma induces myasthenia gravis through microenvironmental mechanisms.,high,41612506,Multi-omics profiling reveals intrathymic triggers and novel biomarkers in thymoma-associated myasthenia gravis.,2026
clinical,57.0,"single-cell RNA-seq, T cell receptor (TCR) sequencing","Alzheimer's disease, amyotrophic lateral sclerosis, Parkinson's disease",The leptomeninges contain highly clonally expanded CD8 tissue-resident memory T cells that may play a role in neuroinflammation across neurodegenerative diseases.,high,41593242,Clonal CD8,2026
clinical,20.0,"transcriptomics, T cell clonality analysis, B cell clonality analysis",platinum-resistant ovarian cancer,Oligoclonal B cell expansion and passenger fusion genes are predictive biomarkers of nivolumab response in recurrent ovarian cancer.,high,41591474,Oligoclonal B cell expansion and passenger fusion genes predict response to Nivolumab in recurrent ovarian cancer: phase II Kyoto trial.,2026
basic_research,30000.0,TCR-seq,none,"TCR diversity decline with age and individual variation is governed by fundamental relationships between TCR diversity, repertoire size, and systemic clonal expansion rather than passive processes alone.",medium,41583486,"A fundamental relationship between TCR diversity, repertoire size and systemic clonal expansion: insights from 30,000 TCR",2025
clinical,31.0,"flow cytometry, bulk TCR-seq",mesothelioma,T cell phenotypes in malignant pleural effusion are distinct from peripheral blood and show unique signatures associated with patient survival in mesothelioma.,high,41574275,Comparative analysis of malignant pleural effusion and peripheral blood reveals unique T cell signatures associated with survival in mesothelioma patients.,2026
clinical,128.0,TCR sequencing,tuberculosis,"Ten public Mtb-reactive T cell metaclones are sufficient to identify tuberculosis-specific T cell reactivity across a population, revealing population-level immunodominance of specific TCR-peptide interactions.",high,41565657,Evolution of the tuberculin skin test reveals generalisable Mtb-reactive T cell metaclones.,2026
basic_research,,"Tope-seq, high-throughput TCR profiling",none,High-throughput screening with Tope-seq can effectively detect cross-reactive epitopes in engineered therapeutic TCRs to assess off-target autoreactivity risk from genome-encoded self-antigens.,high,41562097,Comprehensive self-antigen screening to assess cross-reactivity in promiscuous T-cell receptors.,2025
clinical,,TCR sequencing,immune thrombocytopenia,High pre-treatment peripheral blood T cell receptor clonality predicts prolonged response to treatment in immune thrombocytopenia patients.,high,41560569,"Immune repertoire profiling in immune thrombocytopenia: A path towards biomarkers, for The British Journal of Haematology.",2026
basic_research,,,osteosarcoma,"Aging reshapes the osteosarcoma tumor immune microenvironment and tumor-intrinsic programs, contributing to poor clinical outcomes in elderly patients.",high,41553639,Aging reshapes the osteosarcoma ecosystem through immune dysfunction and tumor cell reprogramming.,2026
basic_research,,multi-omic profiling,T-cell leukemia,"Fratricide-driven, unedited CD7 CAR-T cells demonstrate preclinical efficacy in T-cell leukemia treatment through multi-omic characterization.",high,41546117,"Multi-omic profiling and preclinical efficacy of fratricide-driven, unedited CD7 CAR-T cells in T-cell leukemia.",2026
computational,3150.0,TCRβ sequencing,none,"TCR2HLA is a computational tool that accurately infers HLA genotypes from TCR repertoires by identifying HLA-associated TCR features and metaclonotypes, enabling biomarker discovery in samples lacking HLA data.",high,41544105,TCR2HLA: Calibrated inference of HLA genotypes from TCR repertoires enables identification of immunologically relevant metaclonotypes.,2026
clinical,,"single cell RNA-sequencing, T cell receptor (TCR)-sequencing",allergic asthma,"T cells isolated via bronchoalveolar lavage and endobronchial brushings exhibit distinct phenotypes and clonotypes, with enrichment of CD4 T helper type 2 cells being the most significant difference between allergic asthmatics and healthy controls.",high,41519381,Distinct phenotypes and repertoires of bronchoalveolar and airway mucosal T cells in health and allergic asthma.,2026
basic_research,,"REFLEX (single-cell multiomic profiling with paired-chain TCR sequencing, 10x FLEX platform)",none,"REFLEX enables massively scalable single-cell multiomic profiling of T cells with TCR sequencing, profiling 1.4M T cells from CMV-peptide-pulsed expansions and identifying novel CMV-reactive clonotypes.",medium,41510249,Massively Scalable Single-cell Multiomic Profiling of T Cell Repertoire with REFLEX.,2025
basic_research,,TCR sequencing,glioblastoma,"The iHOTT model successfully recapitulates patient-specific tumor-immune interactions and demonstrates pembrolizumab-driven expansion of stem-like CD4 T cell clonotypes, supporting the need for antigen-targeted immunotherapy strategies in glioblastoma.",high,41505256,A human tumor-immune organoid model of glioblastoma.,2026
clinical,,scRNA-seq,COVID-19,Convalescent COVID-19 plasma transfusion promotes inflammatory responses in CD4 memory T cells and B cells while disrupting NK cell communication with adaptive immune cells in severe COVID-19 patients.,high,41500480,Single cell transcriptomic atlas reveals distinct immune signatures following transfusion of COVID-19 convalescent plasma in severe COVID-19.,2026
clinical,,HLA profiling and TCR repertoire analysis,Opsoclonus-myoclonus-ataxia syndrome (OMAS),Investigation of HLA profiles and T-cell receptor repertoires to identify similarities and differences between idiopathic and paraneoplastic OMAS in a Spanish pediatric cohort.,high,41499722,HLA and T-Cell Receptor Investigations in Idiopathic and Paraneoplastic Opsoclonus-Myoclonus in Children.,2026
clinical,401.0,,graft-versus-host disease,Recent viral infections significantly impact T cell receptor composition and influence GVHD risk independently of HLA matching in HLA-identical sibling hematopoietic cell transplantation.,high,41497599,Genetic and environmental imprints on T cell receptor repertoires as predictors of graft-versus-host disease.,2025
basic_research,,,Tick-borne encephalitis virus,Tick-borne encephalitis virus variants induce distinct alterations in T cell receptor repertoires during acute viral infection.,high,41488624,Tick-borne encephalitis virus variants drive distinct TCR repertoire alterations.,2025
clinical,856.0,TCR sequencing,breast cancer,"TCR clonality and diversity changes in peripheral blood correlate with breast cancer stage, subtype, treatment response, and survival outcomes.",high,41462298,Circulating T-cell receptor repertoire and clinicopathological correlations in breast cancer patients: immune repertoire analysis from the VGH-TAYLOR study.,2025
computational,,"next-generation sequencing (NGS), TCR sequencing","cancer, infectious diseases, vaccine response",SatTCR pipeline enables saturation analysis of TCR repertoire to determine optimal sequencing depth for accurate representation of T cell repertoires in health and disease studies.,high,41458169,SatTCR: a pipeline for performing saturation analysis of the T cell receptor repertoire and a case study of a healthy canine.,2026
clinical,52.0,"RNA-Seq, MiXCR, VDJTools",sepsis with thrombocytopenia,Septic patients with thrombocytopenia show upregulated T-cell activation signaling pathways and altered immune profiles associated with higher mortality and SOFA scores compared to non-thrombocytopenic septic patients.,high,41444326,Whole transcriptome analysis reveals T cell signaling activation in septic patients with thrombocytopenia.,2025
review,,immune repertoire sequencing,"multiple (immune-mediated adverse drug reactions, cancer immunotherapy, graft-versus-host disease, autoimmune disorders, food allergy, transplantation, vaccination)",Integration of HLA polymorphisms and immune repertoire dynamics (TCR/BCR) with genetic information enables prediction of interindividual drug responses and immune-related toxicities across diverse clinical contexts.,high,41438736,Significance and challenges of immunopharmacogenomics.,2025
clinical,,"deep sequencing of bulk-sorted CD4+ T cells, single-cell TCR sequencing",Sjögren's disease,"SjD-associated TCR motifs with shared putative antigen specificity were identified in both salivary glands and peripheral blood, with abundances correlating to reduced salivary flow and two Ro60 epitopes identified as targets of pathogenic T cell clones.",high,41424382,Identification of Sjögren's disease-associated T cell receptor motifs through deep sequencing.,2025
clinical,,,cytomegalovirus reactivation after allogeneic haematopoietic stem cell transplantation,Shared donor-recipient γδ T-cell phenotypic and repertoire features are associated with cytomegalovirus reactivation following allogeneic haematopoietic stem cell transplantation.,high,41415800,Shared donor-recipient γδ T-cell phenotypic and repertoire features associate with cytomegalovirus reactivation after allogeneic haematopoietic stem cell transplantation.,2025
basic_research,,TCRβ repertoire sequencing,cancer,"Radiotherapy and immunotherapy alter the TCR repertoire by affecting hematopoietic stem cells, with combined RT and checkpoint inhibitor treatment causing notable decreases in TCRβ diversity and CDR3 diversity.",medium,41415478,Analysis of the TCRβ repertoire characteristics when combining radiotherapy and immunotherapy in cancer.,2026
clinical,1.0,,melanoma,Malignant pleural effusions represent an accessible source of tumor-reactive T cells that could potentially be used for adoptive cell therapy as an alternative to surgical tumor resection.,high,41415427,Phenotypic and functional characterization of tumor-reactive T cells in malignant pleural effusions.,2025
basic_research,,,COVID-19,Study evaluates CD8 T cell capacity to target SARS-CoV-2 variants and assess immune escape potential of HLA-A2-restricted immunodominant epitopes.,high,41407706,Resistance potential of the HLA-A2-restricted immunodominant SARS-CoV-2-specific CD8,2025
clinical,66.0,"mass cytometry, ELISA, TCR sequencing",cancer and COVID-19,"Pre-vaccination immune profiling identifies specific T cell, B cell, and myeloid populations that correlate with COVID-19 mRNA vaccine response in cancer patients on active treatment.",high,41399253,Pre-vaccine immune profiling in cancer patients identifies correlates of COVID-19 vaccine responses.,2025
basic_research,,genome sequencing,none,"The study characterizes the unique genomic organization of TCR loci in the Iberian ribbed newt, revealing separation of TRA and TRD loci, filling a critical gap in understanding TCR architecture across amphibians.",low,41394813,Unique TCR loci architecture in newts: TRA and TRD separation in ,2025
basic_research,,REFLEX (single-cell TCR sequencing with multiome profiling integrated with 10x FLEX platform),none,"REFLEX enables massively scalable single-cell profiling of >2 million T cells with paired-chain TCR sequencing and multiomic information, identifying novel CMV-reactive clonotypes and advancing understanding of T cell-mediated adaptive immunity.",medium,41394686,"REFLEX, a Novel Immune Profiling Assay, Combining TCR Repertoire and Multiome at Massively Scalable Single-cell Resolution to Catapult Exploration of T-cell Derived Immunity.",2025
basic_research,,,viral infection,In-depth characterization of CD4 TCR CDR3β repertoire diversity specific to influenza A and Epstein-Barr virus epitopes in circulating T cells.,medium,41383601,Deep exploration of the TCR CDR3β repertoire specific for viral CD4 T-cell epitopes inside the circulating T-cell repertoire.,2025
basic_research,,,betaherpesviruses (HHV-6B and HCMV infection),"CD4 T cells possess cytotoxic capacity in response to betaherpesviruses HHV-6B and HCMV, expanding understanding of CD4 T cell roles beyond traditional helper functions in viral control.",high,41376632,TCR repertoire of human cytotoxic CD4 T cells responding to betaherpesviruses HHV-6B and HCMV.,2025
basic_research,,,cancer,Functional validation of a HER2/neu-specific TCR clonotype targeting the KIFGSLAFL peptide presented by HLA-A*02 for T cell receptor-engineered T cell therapy.,high,41376627,"Anti-HER2/neu TCR-T Cells in Action: linking transcriptional signatures, secretomics, and ",2025
computational,5339.0,GWAS,Type 1 narcolepsy,"HLA-DQB1*03:01 is a strong transethnic genetic determinant of earlier age of onset in type 1 narcolepsy, independent of DQA1 and ethnicity.",high,41364757,HLA-DQB1*03:01 strongly affects age of onset of type 1 narcolepsy independently of DQA1 and ethnicity.,2025
basic_research,,high-throughput sequencing,none,"Cattle TCR β CDR3 repertoire shows lower diversity and higher dominant clones compared to humans and mice, with V gene rearrangement bias influenced by recombination signal sequence quality and physical distance.",medium,41355369,Characterization of the Cattle TCR β CDR3 Repertoire and Gene Rearrangement Bias Influenced by Recombination Signal Sequences and Physical Distance.,2026
basic_research,,"10X Genomics, scRNA-seq, Smart-seq3xpress, TCR repertoire profiling",none,Development of a plate-based 10X Genomics-compatible single-cell RNA-sequencing method that enables direct pairing of indexed single-cell sorting with scRNA-seq data while reducing costs for small-scale cell population profiling.,medium,41353535,Plate-based 10X Genomics-compatible single-cell RNA-sequencing based on Smart-seq3xpress.,2025
clinical,,"scRNA-seq, single-cell TCR repertoire sequencing",HIV-1 infection,A significantly decreased proportion of naïve MAIT cells is associated with incomplete immune reconstitution in ART-treated HIV-1 patients who are immunological non-responders.,high,41352538,A decreased proportion of naïve MAIT cells is associated with the incomplete immune reconstitution in antiretroviral therapy-treated HIV-1 patients.,2025
computational,,sequence-based machine learning prediction,oncology,"Training a generalizable TCR specificity prediction model for personalized neoepitope recognition requires 1-100 million epitopes, approximately 1000-fold larger than current publicly available datasets.",high,41309794,Assessing data size requirements for training generalizable sequence-based TCR specificity models via pan-allelic MHC-I point-mutation ligandome evaluation.,2025
basic_research,10.0,single-cell sequencing,none,T cell clones exhibit compartmentalized phenotypes and clonal sharing patterns between blood and tissues that vary with age and are influenced by tissue-specific antigen exposure and chronic infections.,high,41308653,Deep profiling of human T cells defines compartmentalized clones and phenotypic trajectories across blood and tonsils.,2025
computational,,TCR-seq,colorectal cancer,A Transformer-based machine learning model using TCR repertoire features achieved an AUC of 0.973 for colorectal cancer diagnosis on internal testing and 0.814 on independent testing.,high,41301172,Peripheral Blood TCR Clonotype Diversity as a Biomarker for Colorectal Cancer.,2025
basic_research,,"TIRTL-seq, bulk TCR-seq, 10x Genomics Chromium","SARS-CoV-2, Epstein-Barr virus","TIRTL-seq enables cost-effective paired TCR repertoire sequencing at scale by generating hundreds of TCR libraries in 384-well plates, combining the strengths of bulk and single-cell approaches while identifying clonal expansions with distinct dynamics.",high,41286199,"TIRTL-seq: deep, quantitative and affordable paired TCR repertoire sequencing.",2026
clinical,,"['single-cell RNA sequencing', 'TCR sequencing', 'microarray', 'bulk RNA sequencing', 'qRT-PCR']",esophageal squamous cell carcinoma,Proliferative exhausted T cells represent a novel tumor microenvironment subset with high infiltration that correlates with improved patient survival and serves as a favorable prognostic biomarker in ESCC.,high,41286177,Discovery and validation of proliferative exhausted T cells as a favorable prognostic biomarker in esophageal squamous cell carcinoma.,2025
computational,,,cancer,A fingerprint-based approach enables structure-based T cell receptor repertoire analysis and specificity prediction for pairing TCR with peptide-MHC complexes.,high,41280903,A fingerprint approach to pioneer structure-based T cell receptor repertoire analysis and specificity prediction.,2025
basic_research,,,influenza A infection,"Natural killer T cells play an important role in shaping adaptive immune responses to influenza infection through cytokine release that affects the scope and magnitude of virus-specific T cells, B cells, and antibody responses.",high,41279250,Pigs lacking Natural Killer T cells have altered cellular responses to influenza.,2025
basic_research,,,none,"Atomistic TCR-ligand interactions regulate the differentiation of memory T cells, which provide adaptive immunity against pathogens and cancer.",high,41279151,Atomistic TCR-ligand interactions instruct memory T-cell differentiation.,2025
clinical,,,non-small cell lung cancer (NSCLC),CD8+ CX3CR1+ T cells are systemically activated and infiltrate tissues in NSCLC patients treated with neoadjuvant immune checkpoint blockade.,high,41275012,Systemic activation and tissue infiltration of CD8 + CX3CR1 + T cells in non-small cell lung cancer treated with neoadjuvant immune checkpoint blockade.,2026
clinical,,,long COVID-19 (post-COVID-19 syndrome),Anti-GPCR autoantibodies triggered by SARS-CoV-2 are linked to autonomic dysfunction and vasoregulation impairment in long COVID-19 patients.,high,41274384,Autonomic dysfunction and vasoregulation in long COVID-19 are linked to anti-GPCR autoantibodies.,2026
clinical,,"scRNA-seq, scTCR-seq, scBCR-seq",Lymphatic malformations,"Lymphatic malformations exhibit immune dysfunction characterized by expansion of pro-inflammatory monocytes and atypical B cells with reduced cytotoxic T and NK cells, and S100A8 was identified as a potential therapeutic target.",high,41273773,Multidimensional single-cell analysis reveals immune dysfunction and inflammatory response in Lymphatic malformations.,2025
clinical,,immune receptor repertoire sequencing,acute invasive fungal sinusitis,"This study explores adaptive immunity dynamics in acute invasive fungal sinusitis through immune receptor repertoire analyses, addressing a previously unstudied aspect of this fatal infection in immunocompromised patients.",high,41269034,Immune Receptor Repertoire Analyses Reveal Dynamics of Adaptive Immunity in Acute Invasive Fungal Sinusitis.,2026
clinical,1.0,high-throughput TCR sequencing,metastatic prostate cancer,Serial TIL infusions combined with anti-PD-1 blockade achieved durable complete remission with sustained clonal persistence and reactivation of TIL-derived immunity over five years.,high,41267983,Serial TIL infusions and PD-1 blockade drive long-term clonal persistence in prostate cancer.,2025
clinical,,next-generation sequencing targeting TCRβ/γ,non-small cell lung cancer (NSCLC),"Baseline tissue and circulating TCRβ repertoire composition, particularly TRBV/J gene usage, can predict pembrolizumab response and progression-free survival in advanced NSCLC patients.",high,41266384,Tissue and peripheral T cell receptor repertoire predicts immunotherapy response and progression-free survival in NSCLC patients.,2025
clinical,,,advanced pancreatic cancer,The study evaluated the safety and efficacy of allogeneic NK cell therapy combined with gemcitabine and S-1 as first-line treatment for advanced pancreatic cancer while characterizing the dynamic immune landscape associated with treatment response.,high,41266303,Dynamic transcriptional immune landscape in response to NK-cell therapy combined with gemcitabine plus S-1 in advanced pancreatic cancer: a phase 1b/2 trial.,2025
review,,"high-throughput sequencing, TCR-seq",cancer,"TCR repertoire analysis serves as a powerful biomarker for cancer diagnosis, prognosis, and therapeutic monitoring, with distinct patterns predicting immunotherapy response and clinical outcomes.",high,41244934,Harnessing TCR repertoires: predictive insights and therapeutic monitoring in cancer immunotherapy.,2025
clinical,,"bulk TCR sequencing, single-cell RNA sequencing",tuberculosis,"PDI-TCR assay successfully identifies and distinguishes antigen-specific TCRs from bystander TCRs in TB patients, revealing that Mtb-specific T cells display diverse short-lived effector phenotypes at diagnosis that transition to memory phenotypes during treatment.",high,41241821,Peptide-driven identification of TCRs reveals dynamics and phenotypes of CD4 T cells in tuberculosis.,2026
basic_research,,bulk TCR-seq,synovial sarcoma,"Oncolytic measles virus encoding neutrophil-activating protein demonstrates significant anti-tumor effects in synovial sarcoma models, addressing the immunologically cold nature of this malignancy.",high,41235176,Oncolytic measles virotherapy encoding the neutrophil-activating protein is effective in synovial sarcoma.,2025
clinical,48.0,bulk TCR-seq (SMARTer Human TCR Profiling Kit with UMIs),SARS-CoV-2 reinfection,"TCR repertoire analysis reveals distinct signatures in reinfected individuals compared to primary infection and healthy controls, with both groups showing significantly reduced TCR diversity.",high,41209021,Distinct characteristics of T cell receptor repertoire associated with the SARS-CoV-2 reinfection.,2025
basic_research,,single-cell TCR-sequencing,"infectious diseases, autoimmunity, and cancer","CD4+ MAIT cells express highly diverse TRAV1-2- TCRs including TRAV21, TRAV8, and TRAV12 families, distinct from the canonical TRAV1-2+ CD8+ MAIT cell subset.",medium,41206963,CD4+ mucosal-associated invariant T cells express highly diverse T cell receptors.,2025
